# Nesse arquivo vao estar todos os dados disponiveis no servidor
# Comentarios iniciam a partir do caractere '#' e terminam no fim da linha
Northern Mariana Islands => 53.883
South Ossetia => 51.547
Faroe Islands => 49.179
Sint Maarten => 38.247
Monaco => 37.800
Liechtenstein => 37.370
Saint-Martin => 36.522
San Marino => 32.831
Gibraltar => 32.734
Turks and Caicos Islands => 31.458
Aland Islands => 28.875
British Virgin Islands => 28.054
Palau => 20.901
Flag of Bonaire.svg Bonaire => 17.408
Cook Islands => 14.974
Anguilla => 13.452
Wallis and Futuna => 13.135
Tuvalu => 10.640
Nauru => 10.084
Saint Barthelemy => 9.269
Saint Pierre and Miquelon => 6.069
Montserrat => 4.922
Sint Eustatius => 4.020
Saint Helena => 4.000
Falkland Islands => 3.000
Svalbard and Jan Mayen => 2.562
Norfolk Island => 2.302
Christmas Island => 2.072
Saba => 1.991
Niue => 1.490
Tokelau => 1.411
Vatican City => 839
Cocos Islands => 550
Wake Island => 188
French Southern and Antarctic Lands => 140
Midway Atoll => 60
Pitcairn Islands => 56
